time_ms,x,y,target_x,target_y,target_w,start_flag,end_flag
3,590.0,739.0,692.0,557.0,40.0,1,0
29404,1471.0,209.0,692.0,557.0,40.0,0,1
8,1527.0,600.0,2495.0,591.0,40.0,1,0
23,1527.0,600.0,2495.0,591.0,40.0,0,0
39,1527.0,600.0,2495.0,591.0,40.0,0,0
54,1527.0,600.0,2495.0,591.0,40.0,0,0
69,1527.0,600.0,2495.0,591.0,40.0,0,0
85,1527.0,600.0,2495.0,591.0,40.0,0,0
101,1527.0,600.0,2495.0,591.0,40.0,0,0
116,1527.0,600.0,2495.0,591.0,40.0,0,0
131,1527.0,600.0,2495.0,591.0,40.0,0,0
147,1527.0,600.0,2495.0,591.0,40.0,0,0
162,1527.0,600.0,2495.0,591.0,40.0,0,0
177,1527.0,600.0,2495.0,591.0,40.0,0,0
192,1527.0,600.0,2495.0,591.0,40.0,0,0
210,1527.0,600.0,2495.0,591.0,40.0,0,0
224,1527.0,600.0,2495.0,591.0,40.0,0,0
239,1527.0,600.0,2495.0,591.0,40.0,0,0
255,1527.0,600.0,2495.0,591.0,40.0,0,0
270,1527.0,600.0,2495.0,591.0,40.0,0,0
286,1527.0,600.0,2495.0,591.0,40.0,0,0
301,1529.0,600.0,2495.0,591.0,40.0,0,0
317,1533.0,600.0,2495.0,591.0,40.0,0,0
332,1538.0,600.0,2495.0,591.0,40.0,0,0
347,1543.0,601.0,2495.0,591.0,40.0,0,0
362,1549.0,602.0,2495.0,591.0,40.0,0,0
378,1558.0,603.0,2495.0,591.0,40.0,0,0
393,1569.0,604.0,2495.0,591.0,40.0,0,0
408,1580.0,605.0,2495.0,591.0,40.0,0,0
424,1592.0,605.0,2495.0,591.0,40.0,0,0
440,1607.0,606.0,2495.0,591.0,40.0,0,0
456,1623.0,606.0,2495.0,591.0,40.0,0,0
471,1637.0,606.0,2495.0,591.0,40.0,0,0
486,1651.0,606.0,2495.0,591.0,40.0,0,0
502,1665.0,606.0,2495.0,591.0,40.0,0,0
517,1677.0,606.0,2495.0,591.0,40.0,0,0
533,1688.0,605.0,2495.0,591.0,40.0,0,0
549,1700.0,604.0,2495.0,591.0,40.0,0,0
565,1712.0,603.0,2495.0,591.0,40.0,0,0
579,1720.0,602.0,2495.0,591.0,40.0,0,0
595,1729.0,601.0,2495.0,591.0,40.0,0,0
611,1737.0,600.0,2495.0,591.0,40.0,0,0
626,1745.0,599.0,2495.0,591.0,40.0,0,0
641,1755.0,598.0,2495.0,591.0,40.0,0,0
657,1766.0,597.0,2495.0,591.0,40.0,0,0
673,1777.0,597.0,2495.0,591.0,40.0,0,0
688,1786.0,596.0,2495.0,591.0,40.0,0,0
704,1795.0,596.0,2495.0,591.0,40.0,0,0
720,1805.0,595.0,2495.0,591.0,40.0,0,0
735,1815.0,595.0,2495.0,591.0,40.0,0,0
750,1826.0,594.0,2495.0,591.0,40.0,0,0
766,1836.0,593.0,2495.0,591.0,40.0,0,0
781,1845.0,592.0,2495.0,591.0,40.0,0,0
796,1853.0,591.0,2495.0,591.0,40.0,0,0
811,1862.0,590.0,2495.0,591.0,40.0,0,0
